Database, ID, Level, Product, Moduloe, Status, Synopsis
CR_SCADE,CR-14733,Minor,DISPLAY-IDE,User Documentation,CR_resolved,In the documentation (sgluWriteRichText), it is not specified that escape sequences have to start with an ASCII escape character \x1B 
CR_SCADE,CR-14734,Minor,DISPLAY-IDE,Editor,CR_for_analysis,[Rich Text] Add the possibility to chose "no color" as background color 
CR_SCADE,CR-14737,Medium,SCADE Lifecycle,User Documentation,CR_resolved,[QTE] Missing documentation about SSM::set and SSM::alias commands for direct array index access 
CR_SCADE,CR-14738,Minor,SCADE Lifecycle,User Documentation,CR_resolved,Remove compatibility with Framemaker from LifeCycle User manual 
CR_SCADE,CR-14744,Showstopper,DISPLAY-IDE,Installation,CR_for_modification,Not possible to launch Font Code Generator when using a license locked to a FLEXid dongle 
CR_SCADE,CR-14749,Medium,SUITE-IDE,User Documentation,CR_resolved,Missing on-line help about option "User-provided sensor declaration" of the Simulink Wrapper 
CR_SCADE,CR-14763,Minor,DISPLAY-IDE,CG Integration,CR_in_review,Standalone executable: Capability to lock position and size in .ini file 
CR_SCADE,CR-14764,Minor,DISPLAY-IDE,CG Integration,CR_in_review,Standalone executable: Capability to create a window with no title bar or frame decoration 
CR_SCADE,CR-14766,Minor,DISPLAY-IDE,Editor,CR_for_modification,"Save" and "Save As" dialog box title is "Open" 
CR_SCADE,CR-14788,Minor,DISPLAY-IDE,Font Management,CR_resolved,Remove Chinese26 from default font table + add new fonts in distribution 
CR_SCADE,CR-14793,Minor,DISPLAY-IDE,Editor,CR_for_analysis,stt file is not updated when migrate the sgfx file 
CR_SCADE,CR-14805,Medium,DISPLAY-IDE,Editor,CR_for_analysis,Migration on text and text area failed 
CR_SCADE,CR-14811,Medium,DISPLAY-IDE,Editor,CR_for_modification,Synchronize variable action does not work when variables are sorted by name in the dictionary 
CR_SCADE,CR-14817,Minor,DISPLAY-IDE,CG Integration,CR_entered,[Mobile] Option to specify orientation of generated application (horizontal/vertical) 
CR_SCADE,CR-14829,Minor,SCADE Lifecycle,Reporter Display,CR_entered,Issues on screenshots of generating report in batch mode 
CR_SCADE,CR-14830,Medium,SCADE Lifecycle,Reporter Display,CR_entered,Some screenshots are missing in reporter 

